 3910.0023 187.0206 169.5899   5.9299
 3910.9027 189.5633 171.8985   6.0100
 3911.8033 176.6871 160.2248   5.8085
 3912.7042 183.2885 166.2140   5.9032
 3913.6052 188.1731 170.6464   5.9456
 3914.5065 191.3246 173.5073   5.9629
 3915.4080 192.3118 174.4054   5.9778
 3916.3097 191.5144 173.6852   5.9112
 3917.2115 187.6535 170.1866   5.8123
 3918.1136 178.8197 162.1777   5.6368
 3919.0159 174.2299 158.0177   5.5229
 3919.9185 183.8575 166.7522   5.6478
 3920.8212 192.2444 174.3618   5.7114
 3921.7241 199.7092 181.1352   5.9063
 3922.6272 200.2272 181.6080   5.7770
 3923.5306 181.5946 164.7108   5.7064
 3924.4341 195.3708 177.2091   5.7788
 3925.3379 197.3732 179.0283   5.8326
 3926.2419 195.0249 176.9012   5.8003
 3927.1460 196.4218 178.1712   5.7892
 3928.0504 196.8295 178.5440   5.7885
 3928.9550 191.1997 173.4401   5.6717
 3929.8598 189.9190 172.2812   5.6294
 3930.7648 185.1523 167.9600   5.5382
 3931.6700 180.5466 163.7846   5.4725
 3932.5754 179.8095 163.1187   5.4498
 3933.4811 179.9190 163.2206   5.4240
 3934.3869 177.7894 161.2914   5.4417
 3935.2930 188.0077 170.5643   5.4959
 3936.1992 181.7582 164.8973   5.4860
 3937.1057 182.7430 165.7934   5.4446
 3938.0124 183.5128 166.4946   5.4861
 3938.9193 176.6422 160.2637   5.4125
 3939.8263 182.0931 165.2120   5.5290
 3940.7337 180.6314 163.8885   5.5642
 3941.6412 182.0300 165.1602   5.5998
 3942.5489 180.7298 163.9831   5.5581
 3943.4568 168.8371 153.1949   5.3564
 3944.3650 151.5280 137.4917   5.0899
 3945.2733 144.9907 131.5622   4.9677
 3946.1819 145.0707 131.6369   4.9635
 3947.0906 154.0619 139.7978   5.0916
 3947.9996 168.4243 152.8329   5.3181
 3948.9088 172.1564 156.2220   5.3504
 3949.8182 167.8689 152.3339   5.3033
 3950.7278 181.0686 164.3147   5.4503
 3951.6376 190.7818 173.1320   5.5708
 3952.5476 190.5563 172.9302   5.5835
 3953.4578 185.6950 168.5213   5.5504
 3954.3683 185.9880 168.7899   5.5715
 3955.2789 194.7395 176.7350   5.7232
 3956.1898 200.3513 181.8310   5.8222
 3957.1009 186.5618 169.3190   5.7000
 3958.0122 193.7996 175.8906   5.8406
 3958.9236 198.3164 179.9929   6.7265
 3959.8353 193.8856 175.9744   6.7474
 3960.7473 191.4738 173.7883   5.7926
 3961.6594 194.2287 176.2915   5.8494
 3962.5717 198.3441 180.0298   5.9648
 3963.4842 206.1017 187.0741   6.0815
 3964.3970 200.0594 181.5926   6.1116
 3965.3100 201.2575 182.6831   6.1717
 3966.2231 214.0263 194.2766   6.4568
 3967.1365 203.3575 184.5952   6.3710
 3968.0501 206.9617 187.8699   6.4085
 3968.9639 202.4713 183.7967   6.4313
 3969.8779 206.9519 187.8671   6.5434
 3970.7921 201.7294 183.1292   6.4853
 3971.7066 183.3463 166.4438   6.2223
 3972.6212 187.7376 170.4330   6.0770
 3973.5361 175.8831 159.6738   5.9032
 3974.4511 170.4178 154.7146   5.7346
 3975.3664 162.8878 147.8808   5.5473
 3976.2819 152.4683 138.4236   5.3383
 3977.1976 148.9062 135.1917   5.3402
 3978.1135 152.4864 138.4444   5.3043
 3979.0296 137.1558 124.5276   5.0351
 3979.9459 134.8026 122.3930   4.9858
 3980.8625 162.7569 147.7762   5.2979
 3981.7792 202.8202 184.1550   5.8634
 3982.6962 224.4701 203.8157   6.1644
 3983.6134 209.8006 190.4991   5.9239
 3984.5308 167.1821 151.8039   5.2351
 3985.4484 152.5982 138.5638   4.9408
 3986.3662 156.0422 141.6933   4.9747
 3987.2842 162.9907 148.0052   5.0535
 3988.2024 168.7279 153.2174   5.9019
 3989.1209 171.4466 155.6887   6.0065
 3990.0395 173.1914 157.2756   6.0469
 3990.9584 184.8710 167.8845   5.3264
 3991.8775 186.6119 169.4682   5.3769
 3992.7967 178.4218 162.0331   5.2242
 3993.7162 177.6552 161.3395   5.1864
 3994.6360 188.8377 171.4978   5.2722
 3995.5559 175.5943 159.4730   5.0448
 3996.4760 167.1879 151.8409   4.8779
 3997.3964 171.2477 155.5304   4.9101
 3998.3169 179.4233 162.9583   4.9880
 3999.2377 186.3173 169.2224   5.1037
 4000.1587 192.8962 175.2005   5.1696
 4001.0799 186.9670 169.8179   5.1318
 4002.0013 188.1470 170.8923   5.1232
 4002.9229 185.3435 168.3486   5.0815
 4003.8447 185.3412 168.3492   5.1146
 4004.7668 190.0718 172.6489   5.1296
 4005.6890 182.7836 166.0315   5.0691
 4006.6115 183.3134 166.5153   5.0672
 4007.5342 182.7354 165.9930   5.0778
 4008.4571 182.2348 165.5408   5.0867
 4009.3802 182.7549 166.0160   5.0968
 4010.3035 186.7808 169.6758   5.1605
 4011.2270 194.5841 176.7673   5.2454
 4012.1508 185.7537 168.7482   5.1417
 4013.0747 183.8558 167.0267   5.0982
 4013.9989 189.5295 172.1837   5.1305
 4014.9233 191.1589 173.6668   5.1377
 4015.8479 184.6345 167.7421   5.0330
 4016.7727 179.2329 162.8373   4.9510
 4017.6977 176.5939 160.4423   4.8848
 4018.6230 173.3504 157.4979   4.8831
 4019.5484 176.8601 160.6892   4.9335
 4020.4741 186.6458 169.5829   5.0866
 4021.3999 188.6586 171.4144   5.1352
 4022.3260 174.7647 158.7930   4.9386
 4023.2523 185.8992 168.9126   5.0933
 4024.1788 195.9444 178.0428   5.2342
 4025.1056 188.7211 171.4821   5.1149
 4026.0325 183.6275 166.8564   5.0466
 4026.9597 192.0031 174.4699   5.1084
 4027.8870 193.9079 176.2035   5.1790
 4028.8146 193.1256 175.4954   5.1463
 4029.7424 183.1483 166.4316   5.0753
 4030.6704 188.6020 171.3903   5.0225
 4031.5986 190.9768 173.5511   5.1199
 4032.5271 184.4629 167.6342   4.9994
 4033.4557 199.3428 181.1595   5.1795
 4034.3846 184.0935 167.3038   5.0229
 4035.3137 180.2709 163.8325   4.9860
 4036.2430 179.5333 163.1647   4.9777
 4037.1725 175.8876 159.8539   4.9356
 4038.1022 176.2247 160.1628   4.9491
 4039.0321 183.1548 166.4639   5.0218
 4039.9623 178.1498 161.9176   5.0080
 4040.8926 180.6619 164.2034   5.1305
 4041.8232 183.2480 166.5566   5.0966
 4042.7540 184.4415 167.6440   5.2317
 4043.6850 184.1002 167.3365   5.1206
 4044.6162 179.0125 162.7146   5.1390
 4045.5476 186.4418 169.4702   5.2300
 4046.4793 193.8556 176.2119   5.3005
 4047.4112 186.4973 169.5260   5.2119
 4048.3432 179.9770 163.6017   5.0937
 4049.2755 191.2185 173.8232   5.2192
 4050.2080 205.4387 186.7527   5.3773
 4051.1407 191.5015 174.0859   5.2139
 4052.0737 196.4020 178.5436   5.3164
 4053.0068 199.2695 181.1533   5.3582
 4053.9402 195.2043 177.4605   5.3878
 4054.8738 190.3322 173.0340   5.2223
 4055.8076 180.5889 164.1788   5.0752
 4056.7416 176.0977 160.0983   4.9985
 4057.6758 174.1111 158.2946   4.9741
 4058.6103 177.8380 161.6856   5.0348
 4059.5449 180.5832 164.1840   5.0658
 4060.4798 180.6596 164.2561   5.0922
 4061.4149 188.0308 170.9607   5.2024
 4062.3502 193.0275 175.5066   5.2971
 4063.2857 196.6003 178.7580   5.3491
 4064.2214 195.6724 177.9171   5.3559
 4065.1574 188.6844 171.5659   5.2046
 4066.0935 182.6167 166.0513   5.1781
 4067.0299 187.3192 170.3299   5.1742
 4067.9665 187.4530 170.4544   5.1082
 4068.9033 169.4360 154.0736   5.0155
 4069.8403 179.3587 163.0992   4.9331
 4070.7776 190.5621 173.2897   5.1636
 4071.7150 180.0989 163.7775   4.9795
 4072.6527 186.4517 169.5573   5.0455
 4073.5906 182.5566 166.0178   4.9780
 4074.5287 175.1952 159.3258   4.8928
 4075.4670 171.8962 156.3281   4.8569
 4076.4056 176.0419 160.1009   4.9081
 4077.3443 180.3198 163.9940   4.8854
 4078.2833 175.5007 159.6138   4.8510
 4079.2225 184.0844 167.4231   4.9218
 4080.1619 178.1446 162.0235   4.8400
 4081.1015 186.1359 169.2944   5.0089
 4082.0413 189.2288 172.1101   4.9567
 4082.9814 174.3084 158.5420   4.8151
 4083.9217 175.5315 159.6571   4.7888
 4084.8621 174.2047 158.4528   4.7936
 4085.8028 176.0922 160.1721   4.8227
 4086.7438 181.0150 164.6525   4.8939
 4087.6849 180.4907 164.1782   4.8973
 4088.6262 176.5809 160.6243   4.8603
 4089.5678 182.2373 165.7722   4.9022
 4090.5096 179.6141 163.3886   4.8714
 4091.4516 179.9530 163.6996   4.8832
 4092.3938 182.6061 166.1156   4.8788
 4093.3362 191.9071 174.5795   5.0703
 4094.2789 198.2810 180.3808   5.0890
 4095.2218 183.4168 166.8611   4.9624
 4096.1649 187.4264 170.5116   4.9050
 4097.1082 182.1384 165.7034   4.8491
 4098.0517 177.8538 161.8080   4.7871
 4098.9954 180.2936 164.0303   4.8087
 4099.9394 182.8938 166.3987   4.8368
 4100.8835 179.1088 162.9576   4.7762
 4101.8279 175.4279 159.6112   4.7105
 4102.7725 175.5317 159.7082   4.6953
 4103.7174 181.0301 164.7135   4.8059
 4104.6624 181.2761 164.9400   4.7568
 4105.6077 174.8940 159.1356   4.7317
 4106.5532 176.2680 160.3884   4.6954
 4107.4988 173.0909 157.5000   4.6472
 4108.4448 166.1146 151.1544   4.5661
 4109.3909 158.8553 144.5513   4.4575
 4110.3372 151.3875 137.7581   4.3629
 4111.2838 152.8090 139.0538   4.3655
